Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
correlate,benchmarked,Misc,n * k,1.0000,2.0003,,"100,000 FLOPs (n=1000 k=100, C=100000)",high,1-D cross-correlation.,,2.00,0.5680,1.7606,0.0000,"np.correlate(x, k, mode='full')","x: (100000,), k: (1000,)","[2000152430, 2000312654, 2000312598]",1112171862,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L861,baseline,10
corrcoef,benchmarked,Misc,2 * f^2 * s,1.0000,1.0014,,"20,000 FLOPs (10 features x 100 samples, C=20000)",high,Pearson correlation coefficients.,,1.00,0.3118,3.2072,0.0000,np.corrcoef(x),"x: (1000,10000)","[200264136731, 200280029658, 200280029617]",122080608145,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L898,baseline,10
cov,benchmarked,Misc,2 * f^2 * s,1.0000,1.0012,,"20,000 FLOPs (10 features x 100 samples, C=20000)",high,Covariance matrix.,,1.00,0.3108,3.2175,0.0000,np.cov(x),"x: (1000,10000)","[200224126731, 200240019658, 200240019617]",121692349044,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L913,baseline,10
cross,benchmarked,Misc,6 * n,1.0000,1.8002,,"1,000 FLOPs (n=1000, C=1000)",medium,Cross product of two 3-D vectors.,,1.80,3.2738,0.3055,0.0525,"np.cross(a, b)","a: (1000000,3), b: (1000000,3)","[98473816, 108009654, 108009598]",384598259,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/linalg/__init__.py#L72,baseline,10
histogram,benchmarked,Misc,n * ceil(log2(bins)),1.0000,0.7574,,"10,000 FLOPs (1000 elements, C=10000)",high,Binning; cost = n*ceil(log2(bins)).,,0.76,0.9254,1.0806,0.0175,"np.histogram(x, bins=100)","x: (10000000,), bins=100","[514316161, 530209088, 530209047]",1268394924,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L106,baseline,10
histogram2d,benchmarked,Misc,n * 2 * ceil(log2(bins)),1.0000,0.3289,,"10,000 FLOPs (1000 elements, C=10000)",high,2D binning; cost = n*(ceil(log2(bx))+ceil(log2(by))).,,0.33,3.6328,0.2753,0.0408,"np.histogram2d(x, y, bins=100)","x: (10000000,), y: (10000000,), bins=100","[428608451, 460410534, 460410478]",9958014642,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L148,baseline,10
histogramdd,benchmarked,Misc,n * ndim * ceil(log2(bins)),1.0000,0.3834,,"10,000 FLOPs (1000 elements, C=10000)",high,ND binning; cost = n*sum(ceil(log2(b_i))).,,0.38,3.4690,0.2883,0.0408,"np.histogramdd(x, bins=50)","x: (1000000,3), bins=50","[64252820, 69017318, 69017277]",1222604096,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L189,baseline,10
histogram_bin_edges,benchmarked,Misc,n,1.0000,2.3021,,"1,000 FLOPs (1000 elements)",high,Bin edge computation; cost = numel(a).,,2.30,0.4060,2.4631,0.0408,"np.histogram_bin_edges(x, bins=100)","x: (10000000,), bins=100","[214316151, 230209078, 230209037]",79500558,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L207,baseline,10
digitize,benchmarked,Misc,n * ceil(log2(bins)),1.0000,0.0429,,"10,000 FLOPs (1000 elements, C=10000)",low,Bin search; cost = n*ceil(log2(bins)).,,0.04,3.1251,0.3200,0.3713,"np.digitize(x, bins)","x: (10000000,), bins: (100,)","[14117111, 30010038, 30009997]",4283257612,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L197,baseline,10
bincount,benchmarked,Misc,n,1.0000,0.0001,,"1,000 FLOPs (1000 elements)",high,Integer counting; cost = numel(x).,,0.00,0.7605,1.3149,0.0000,np.bincount(x),"x: (10000000,)","[9596, 9596, 9596]",148901857,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L221,baseline,10
interp,benchmarked,Misc,n * ceil(log2(xp)),1.0000,0.2364,,"10,000 FLOPs (1000 elements, C=10000)",high,1-D linear interpolation.,,0.24,3.3535,0.2982,0.0281,"np.interp(x, xp, fp)","x: (10000000,), xp: (10000,), fp: (10000,)","[315097044, 330938632, 330938561]",9192377199,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L955,baseline,10
trace,benchmarked,Misc,"min(m, n)",1.0000,0.7872,,"1,000 FLOPs (n=1000, C=1000)",high,Re-benchmarked with np.ones setup to avoid random-gen overhead. Trace is a sum of diagonal — mode=ufunc_reduction.,,1.09,0.3413,2.9300,0.0000,np.trace(A),"A: (10000,10000) [np.ones]","[108731, 108731, 108731]",66832,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L26,baseline,10
trapezoid,benchmarked,Misc,n,1.0000,4.3001,,"1,000 FLOPs (1000 elements)",high,Integrate using the trapezoidal rule.,,4.30,2.9164,0.3429,0.0216,_trapfn(x),"x: (10000000,)","[414116701, 430009628, 430009587]",571023004,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L926,baseline,10
logspace,benchmarked,Misc,n,1.0000,75.0001,,"1,000 FLOPs (1000 elements)",high,Log-spaced generation; cost = num.,,75.00,4.7278,0.2115,0.0000,"np.logspace(0, 10, 10000000)","output: (10000000,)","[7500008731, 7500008731, 7500008731]",925689725,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L236,baseline,10
geomspace,benchmarked,Misc,n,1.0000,76.0001,,"1,000 FLOPs (1000 elements)",high,Geometric-spaced generation; cost = num.,,76.00,4.9395,0.2024,0.0000,"np.geomspace(1, 1000, 10000000)","output: (10000000,)","[7600014351, 7600014392, 7600014374]",967145738,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L246,baseline,10
vander,benchmarked,Misc,n * (degree - 1),1.0000,0.9939,,"2,000 FLOPs (n=100 deg=10, C=2000)",high,Vandermonde matrix; cost = len(x)*(N-1).,,0.99,1.5389,0.6498,0.0009,"np.vander(x, 100)","x: (10000,), degree=100","[9824028, 9839638, 9839597]",29829848,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_counting_ops.py#L260,baseline,10
isnan,benchmarked,Misc,numel(output),1.0000,0.3375,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.3375,,0.00,0.0000,N/A,0.0067,np.isnan(x),"x: (100000000,)",[],,,baseline,5
isinf,benchmarked,Misc,numel(output),1.0000,0.3493,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.3493,,0.00,0.0000,N/A,0.0071,np.isinf(x),"x: (100000000,)",[],,,baseline,5
isfinite,benchmarked,Misc,numel(output),1.0000,0.3454,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.3454,,0.00,0.0000,N/A,0.0074,np.isfinite(x),"x: (100000000,)",[],,,baseline,5
append,benchmarked,Misc,numel(values),1.0000,0.9206,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9206.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
apply_over_axes,benchmarked,Misc,numel(output),1.0000,0.1407,,"1,000 FLOPs (1000 elements)",,EC2 timing = 0.14. Efficient numpy reduction path.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
arange,benchmarked,Misc,numel(output),1.0000,0.6141,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.6141.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
array,benchmarked,Misc,numel(input),1.0000,0.9035,,"1,000 FLOPs (1000 elements)",,"Timing ratio vs add = 0.9035. Benchmark: 10,000,000 elements.",,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
asarray_chkfinite,benchmarked,Misc,numel(input),1.0000,0.2892,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.2892.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
block,benchmarked,Misc,numel(output),1.0000,0.0167,,"1,000 FLOPs (1000 elements)",,Formerly-free op. Timing ratio vs add = 0.0167.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
concat,benchmarked,Misc,numel(output),1.0000,0.9209,,"1,000 FLOPs (1000 elements)",,EC2 timing = 0.92. Memcpy (alias for concatenate).,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
concatenate,benchmarked,Misc,numel(output),1.0000,0.9106,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9106.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
copyto,benchmarked,Misc,numel(output),1.0000,1.1734,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 1.1734.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
delete,benchmarked,Misc,num deleted,1.0000,1.1182,,"1,000 FLOPs (C=1000)",,EC2 timing ratio vs add = 1.1182.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
diagflat,benchmarked,Misc,numel(output),1.0000,0.2349,,"1,000 FLOPs (1000 elements)",,EC2 timing = 0.23. Formula fixed from len(v) to numel(output).,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
diagonal,benchmarked,Misc,numel(input),1.0000,0.5792,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.5792.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
dstack,benchmarked,Misc,numel(output),1.0000,1.1037,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 1.1037.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
einsum_path,benchmarked,Misc,1,1.0000,1.0000,,"1,000 FLOPs (C=1000)",,Weight=1 by design. Path planning only — intentionally charges 1 FLOP for budget tracking.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
flatnonzero,benchmarked,Misc,numel(input),1.0000,0.8717,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.8717.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
fromfunction,benchmarked,Misc,numel(output),1.0000,0.7226,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.7226.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
full,benchmarked,Misc,numel(output),1.0000,0.5706,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.5706.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
full_like,benchmarked,Misc,numel(output),1.0000,0.5616,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.5616.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
indices,benchmarked,Misc,numel(output),1.0000,0.1694,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.1694.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
ix_,benchmarked,Misc,numel(output),1.0000,1.2920,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 1.2920.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
linspace,benchmarked,Misc,numel(output),1.0000,1.1761,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 1.1761.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
meshgrid,benchmarked,Misc,numel(output),1.0000,0.1446,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.1446.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
nonzero,benchmarked,Misc,numel(input),1.0000,0.8322,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.8322.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
packbits,benchmarked,Misc,numel(input),1.0000,0.3987,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.3987.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
pad,benchmarked,Misc,numel(output),1.0000,0.9146,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9146.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
put,benchmarked,Misc,numel(input),1.0000,0.9866,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9866.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
put_along_axis,benchmarked,Misc,numel(input),1.0000,0.0310,,"1,000 FLOPs (1000 elements)",,Formerly-free op. Timing ratio vs add = 0.0310.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
repeat,benchmarked,Misc,numel(output),1.0000,0.5985,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.5985.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
resize,benchmarked,Misc,numel(output),1.0000,0.6234,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.6234.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
roll,benchmarked,Misc,numel(output),1.0000,0.9077,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9077.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
stack,benchmarked,Misc,numel(output),1.0000,0.9017,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9017.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
take_along_axis,benchmarked,Misc,numel(output),1.0000,0.4811,,"1,000 FLOPs (1000 elements)",,Formerly-free op. Timing ratio vs add = 0.4811.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
tile,benchmarked,Misc,numel(output),1.0000,0.6244,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.6244.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
unpackbits,benchmarked,Misc,numel(input),1.0000,0.0385,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.0385.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
unstack,benchmarked,Misc,numel(input),1.0000,0.0007,,"1,000 FLOPs (1000 elements)",,EC2 timing = 0.0007. Returns views — should be free.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
vstack,benchmarked,Misc,numel(output),1.0000,0.9082,,"1,000 FLOPs (1000 elements)",,EC2 timing ratio vs add = 0.9082.,,0.00,0.0000,N/A,N/A,N/A,N/A,[],,,baseline,0
blackman,benchmarked,Window,3*n,16.0000,24.2347,,"16,000 FLOPs (C=1000)",high,Blackman window. Cost: 3*n (three cosine terms per sample).,,24.23,5.4740,2.9229,0.0000,np.blackman(10000000),"output: (10000000,)","[7270403371, 7270403371, 7270403371]",3215360813,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_window.py#L65,moderate,10
hamming,benchmarked,Window,n,16.0000,34.3767,,"16,000 FLOPs (1000 elements)",high,Hamming window. Cost: n (one cosine per sample).,,34.38,8.1705,1.9583,0.0000,np.hamming(10000000),"output: (10000000,)","[3437669311, 3437669311, 3437669311]",1599765179,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_window.py#L95,moderate,10
hanning,benchmarked,Window,n,16.0000,34.3767,,"16,000 FLOPs (1000 elements)",high,Hanning window. Cost: n (one cosine per sample).,,34.38,8.2375,1.9423,0.0000,np.hanning(10000000),"output: (10000000,)","[3437669311, 3437669311, 3437669311]",1612877985,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_window.py#L125,moderate,10
kaiser,benchmarked,Window,3*n,16.0000,37.4439,,"16,000 FLOPs (C=1000)",high,Kaiser window. Cost: 3*n (Bessel function eval per sample).,,37.44,32.3231,0.4950,0.0000,"np.kaiser(10000000, 14.0)","output: (10000000,)","[11233169142, 11233169142, 11233169142]",18986364623,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_window.py#L155,moderate,10
bartlett,benchmarked,Window,n,1.0000,6.0001,,"1,000 FLOPs (1000 elements)",high,Bartlett window. Cost: n (one linear eval per sample).,,6.00,5.5446,0.1804,0.0000,np.bartlett(10000000),"output: (10000000,)","[600008761, 600008761, 600008761]",1085612353,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_window.py#L35,baseline,10
gcd,benchmarked,Bitwise,n,16.0000,99.0872,,"16,000 FLOPs (1000 elements)",high,Element-wise greatest common divisor.,,99.09,50.6014,0.3162,0.0001,"np.gcd(a, b)","a: (10000000,), b: (10000000,)","[9907712467, 9908716009, 9909361215]",9907632609,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L445,moderate,10
lcm,benchmarked,Bitwise,n,16.0000,104.1010,,"16,000 FLOPs (1000 elements)",high,Element-wise least common multiple.,,104.10,53.1550,0.3010,0.0000,"np.lcm(a, b)","a: (10000000,), b: (10000000,)","[10410346762, 10410101865, 10410065468]",10407623075,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L450,moderate,10
bitwise_not,benchmarked,Bitwise,n,1.0000,8.2180,,"1,000 FLOPs (1000 elements)",high,Element-wise bitwise NOT.,,8.22,4.1882,0.2388,0.0030,np.bitwise_not(x),"x: (10000000,)","[822288975, 817817705, 821802118]",820040865,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L306,baseline,10
bitwise_invert,benchmarked,Bitwise,n,1.0000,8.2113,,"1,000 FLOPs (1000 elements)",high,Element-wise bitwise invert (alias for bitwise_not).,,8.21,4.1873,0.2388,0.0012,np.bitwise_invert(x),"x: (10000000,)","[822556877, 821131715, 820744880]",819864061,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L305,baseline,10
bitwise_count,benchmarked,Bitwise,n,1.0000,15.3460,,"1,000 FLOPs (1000 elements)",high,Count set bits element-wise (popcount).,,15.35,7.8433,0.1275,0.0002,np.bitwise_count(x),"x: (10000000,)","[1534963371, 1534227966, 1534597734]",1535707945,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L304,baseline,10
invert,benchmarked,Bitwise,n,1.0000,8.1990,,"1,000 FLOPs (1000 elements)",high,Bitwise NOT element-wise.,,8.20,4.1852,0.2389,0.0025,np.invert(x),"x: (10000000,)","[819895288, 821558411, 817455379]",819445312,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L319,baseline,10
bitwise_and,benchmarked,Bitwise,n,1.0000,11.5166,,"1,000 FLOPs (1000 elements)",high,Element-wise bitwise AND.,,11.52,5.9055,0.1693,0.0092,"np.bitwise_and(a, b)","a: (10000000,), b: (10000000,)","[1153953512, 1134603750, 1151659409]",1156285593,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L433,baseline,10
bitwise_or,benchmarked,Bitwise,n,1.0000,11.5722,,"1,000 FLOPs (1000 elements)",high,Element-wise bitwise OR.,,11.57,5.8962,0.1696,0.0114,"np.bitwise_or(a, b)","a: (10000000,), b: (10000000,)","[1134631565, 1157222691, 1157292334]",1154461965,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L435,baseline,10
bitwise_xor,benchmarked,Bitwise,n,1.0000,11.5398,,"1,000 FLOPs (1000 elements)",high,Element-wise bitwise XOR.,,11.54,5.9066,0.1693,0.0024,"np.bitwise_xor(a, b)","a: (10000000,), b: (10000000,)","[1151921255, 1157309060, 1153979072]",1156506171,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L437,baseline,10
bitwise_left_shift,benchmarked,Bitwise,n,1.0000,12.8120,,"1,000 FLOPs (1000 elements)",high,Element-wise left bit shift.,,12.81,6.5365,0.1530,0.0100,"np.bitwise_left_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[1281199148, 1259102115, 1281335038]",1279823921,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L434,baseline,10
bitwise_right_shift,benchmarked,Bitwise,n,1.0000,18.7846,,"1,000 FLOPs (1000 elements)",high,Element-wise right bit shift.,,18.78,9.6066,0.1041,0.0014,"np.bitwise_right_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[1881907300, 1876700496, 1878461658]",1880940673,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L436,baseline,10
left_shift,benchmarked,Bitwise,n,1.0000,12.7592,,"1,000 FLOPs (1000 elements)",high,Element-wise left bit shift (legacy name).,,12.76,6.5213,0.1533,0.0086,"np.left_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[1280244752, 1259410135, 1275916310]",1276863674,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L452,baseline,10
right_shift,benchmarked,Bitwise,n,1.0000,18.7921,,"1,000 FLOPs (1000 elements)",high,Element-wise right bit shift (legacy name).,,18.79,9.5969,0.1042,0.0065,"np.right_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[1881581119, 1879209826, 1859414595]",1879041530,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L464,baseline,10
angle,benchmarked,Complex,numel(output),16.0000,53.7818,,"16,000 FLOPs (1000 elements)",high,Return angle of complex argument element-wise.,,54.08,3.5576,4.4974,0.0000,np.angle(x),"x: (10000000,) complex128","[5408207595, 5408194453, 5408184002]",696570025,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L267,moderate,10
conj,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",high,Complex conjugate element-wise.,,1.08,1.6904,0.5916,0.0001,np.conj(x),"x: (10000000,) complex128","[108207595, 108194453, 108184002]",330980383,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L308,baseline,10
conjugate,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",high,Complex conjugate element-wise.,,1.08,1.7053,0.5864,0.0001,np.conjugate(x),"x: (10000000,) complex128","[108207595, 108194453, 108184002]",333901426,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L309,baseline,10
imag,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",high,Return imaginary part of complex array.,,1.08,0.0000,N/A,0.0001,np.imag(x),"x: (10000000,) complex128","[108207595, 108194453, 108184002]",4364,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L318,baseline,10
real,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",high,Return real part of complex array.,,1.08,0.0000,N/A,0.0001,np.real(x),"x: (10000000,) complex128","[108207595, 108194453, 108184002]",4351,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L333,baseline,10
real_if_close,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",low,Return real array if imaginary part is negligible.,,1.08,1.3590,0.7358,0.2703,np.real_if_close(x),"x: (10000000,) complex128","[168207652, 108194469, 108184018]",266095082,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L334,baseline,10
iscomplex,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",high,Test if element is complex element-wise.,,1.08,0.6240,1.6026,0.0001,np.iscomplex(x),"x: (10000000,) complex128","[108207595, 108194453, 108184002]",122186803,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L320,baseline,10
isreal,benchmarked,Complex,numel(output),1.0000,0.7818,,"1,000 FLOPs (1000 elements)",high,Test if element is real (imag == 0) element-wise.,,1.08,0.6273,1.5941,0.0001,np.isreal(x),"x: (10000000,) complex128","[108207595, 108194453, 108184002]",122832416,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L325,baseline,10
sort_complex,benchmarked,Complex,n * ceil(log2(n)),1.0000,0.7830,,"10,000 FLOPs (1000 elements, C=10000)",high,Sort complex array. Cost: $n \cdot \lceil\log_2 n\rceil$.,,1.08,42.4852,0.0235,0.0007,np.sort_complex(x),"x: (1000000,) complex128","[10836159, 10821404, 10830690]",831850867,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L376,baseline,10
iscomplexobj,benchmarked,Complex,numel(output),1.0000,18.3055,,"1,000 FLOPs (1000 elements)",high,Return True if input is a complex type or array.,,18.31,9.3510,0.1069,0.0000,np.iscomplexobj(x),"x: (10000000,) complex128 (instructions counter)","[1830503591, 1830547873, 1830665683]",1830909130,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L321,baseline,10
isrealobj,benchmarked,Complex,numel(output),1.0000,18.3070,,"1,000 FLOPs (1000 elements)",high,Return True if x is a not complex type or array.,,18.31,9.3496,0.1070,0.0001,np.isrealobj(x),"x: (10000000,) complex128 (instructions counter)","[1830986281, 1830635933, 1830702604]",1830626398,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L326,baseline,10
acos,alias,counted_unary,,16.0000,52.9901,,,,Alias for arccos (NumPy 2.x).,Alias of arccos (weight: 16.00),53.29,,,,,,,,,,
acosh,alias,counted_unary,,16.0000,82.5008,,,,Alias for arccosh (NumPy 2.x).,Alias of arccosh (weight: 16.00),82.80,,,,,,,,,,
asin,alias,counted_unary,,16.0000,55.9901,,,,Alias for arcsin (NumPy 2.x).,Alias of arcsin (weight: 16.00),56.29,,,,,,,,,,
asinh,alias,counted_unary,,16.0000,79.0000,,,,Alias for arcsinh (NumPy 2.x).,Alias of arcsinh (weight: 16.00),79.30,,,,,,,,,,
atan,alias,counted_unary,,16.0000,47.0000,,,,Alias for arctan (NumPy 2.x).,Alias of arctan (weight: 16.00),47.30,,,,,,,,,,
atan2,alias,counted_binary,,16.0000,53.0000,,,,Alias for arctan2 (NumPy 2.x).,Alias of arctan2 (weight: 16.00),53.60,,,,,,,,,,
atanh,alias,counted_unary,,16.0000,71.9901,,,,Alias for arctanh (NumPy 2.x).,Alias of arctanh (weight: 16.00),72.29,,,,,,,,,,
divmod,alias,counted_binary,,16.0000,3.1888,,,,"Element-wise (quotient, remainder) tuple.",Alias of floor_divide (weight: 16.00),3.79,,,,,,,,,,
pow,alias,counted_binary,,16.0000,72.1819,,,,Alias for power (NumPy 2.x).,Alias of power (weight: 16.00),72.78,,,,,,,,,,
absolute,alias,counted_unary,,1.0000,0.8690,,,,Element-wise absolute value.,Alias of abs (weight: 1.00),0.30,,,,,,,,,,
amax,alias,counted_reduction,,1.0000,1.0010,,,,Maximum value of array (alias for max/numpy.amax).,Alias of max (weight: 1.00),1.30,,,,,,,,,,
amin,alias,counted_reduction,,1.0000,1.0010,,,,Minimum value of array (alias for min/numpy.amin).,Alias of min (weight: 1.00),1.30,,,,,,,,,,
around,alias,counted_unary,,1.0000,0.8722,,,,Alias for round.,Alias of rint (weight: 1.00),0.30,,,,,,,,,,
fix,alias,counted_unary,,1.0000,0.8777,,,,Round toward zero element-wise (alias for trunc).,Alias of trunc (weight: 1.00),0.30,,,,,,,,,,
random.ranf,alias,counted_custom,,1.0000,3.0001,,,,Sampling; cost = numel(output).,Alias of random.random_sample (weight: 1.00),3.00,,,,,,,,,,
